id,created_at,text,likes,in reply to,retweeted
1257357888865153028,2020-05-04 17:14:15,https://t.co/DVf40oJJkx,0,,False,
1256916102397001732,2020-05-03 11:58:45,"@jorgcan Estoy de acuerdo. Y más cuando muchos sanitarios aún siguen sin material. En eurovisión no, pero en desgra… https://t.co/rUGU0wQUSa",1,jorgcan,False,
1256651777908367367,2020-05-02 18:28:25,"Como ciudadanos, somos ahora responsables de decidir a quién otorgamos nuestra confianza, nuestro voto, o en otras… https://t.co/k7cWP4Be2O",2,srcaballero99,False,
1256651776041930762,2020-05-02 18:28:25,Me atrevería a especular sobre que ha aprovechado esta situación de estado de alarma para aprobar medidas que no ti… https://t.co/WlTbRbOiJt,2,srcaballero99,False,
1256651774238359553,2020-05-02 18:28:25,"Aunque todos somos humanos y tenemos derecho a fallar y a que se nos perdone, creo que lo que ha hecho este gobierno es imperdonable.",2,srcaballero99,False,
1256651771344302086,2020-05-02 18:28:24,"https://t.co/LS1b2OswU1

https://t.co/ovKmWhn8dl https://t.co/ukmCIygkVO",1,srcaballero99,False,
1256651761449926656,2020-05-02 18:28:22,https://t.co/YLfv1CZ5vA,1,srcaballero99,False,
1256651751647842305,2020-05-02 18:28:19,https://t.co/nO891CA5u8,4,,False,
1248553167576588288,2020-04-10 10:07:26,https://t.co/88rXWmca5h,0,,False,
1247952606749753346,2020-04-08 18:21:01,[Son dos links],0,srcaballero99,False,
1247952325941112835,2020-04-08 18:19:54,"En tiempos de incertidumbre y desinformación hay que estar especialmente bien informados, intentando buscar fuentes… https://t.co/6ktOJSKLSe",0,,False,
1232570545113309184,2020-02-26 07:38:12,"RT @Tecnologia_USJ: No nos sabemos quedar quietos!!! Moviéndonos también aprendemos...así que, hoy visita al @BSC_CNS (Centro Nacional de S…",0,,True,
1219229942472478720,2020-01-20 12:07:25,"AI Career Pathways Report. Very helpful information.
https://t.co/68wYyVoi0w",2,,False,
1212878512107008002,2020-01-02 23:29:06,Google and NASA's Quantum Artificial Intelligence Lab https://t.co/A9pnNyeYXb,0,,False,
1212877912472465409,2020-01-02 23:26:43,https://t.co/JjbWwKwEjf,0,,False,
1212814084892233728,2020-01-02 19:13:05,Travelling Salesman Problem (https://t.co/nmpXKFDbwj) using Genetic Algorithm (https://t.co/groayMLOgQ) https://t.co/FS6OXcVe4j,1,,False,
1206669397915586562,2019-12-16 20:16:17,https://t.co/WVRy1GqPH0,1,,False,
1204688054843248640,2019-12-11 09:03:08,https://t.co/YBIt783xP7,0,,False,
1204291086082084865,2019-12-10 06:45:44,"RT @BenGeskin: @LaughingQuoll Looks great on notchless iPhone 🔥

(OnePlus 7 Pro) https://t.co/7H6ZU0MGwK",0,,True,
1201895921656717312,2019-12-03 16:08:12,RT @tim_cook: Humanity has never faced a greater or more urgent threat than climate change — and it’s one we must face together. Apple will…,0,,True,
1200165827678494720,2019-11-28 21:33:25,"Introduction to neural networks architecture:
- Quite interesting and explanatory video —&gt; https://t.co/81am1oZn6v… https://t.co/3T0dy9czH5",2,,False,
1200163747152760833,2019-11-28 21:25:09,"Python has really useful stuff… Map, Filter, and Reduce Functions https://t.co/81am1oZn6v",0,,False,
1191671575105413123,2019-11-05 11:00:18,Six Reasons Why iOS 13 and Catalina Are So Buggy - TidBITS https://t.co/PxdEo7gbk6,1,,False,
1191410010384941056,2019-11-04 17:40:56,https://t.co/GRUmjw34eV,0,,False,
1190290579151818753,2019-11-01 15:32:43,RT @stroughtonsmith: I somehow missed the fact that the new Mac Pro has a line of silver and black accessories instead of the Space Gray of…,0,,True,
1184123321173999616,2019-10-15 15:06:14,https://t.co/kUsLKDfyIB,0,,False,
1183734921115951104,2019-10-14 13:22:52,https://t.co/t3a5sptWWi,0,,False,
1183421024748167168,2019-10-13 16:35:33,https://t.co/2t7tnNkMC1,0,,False,
1156677315469950977,2019-07-31 21:25:36,https://t.co/JPgJKsg7fh,0,,False,
1154323783009939457,2019-07-25 09:33:30,https://t.co/e7VOlKbeSh,0,,False,
1143591743893512192,2019-06-25 18:48:13,https://t.co/o13MUgZZBR,0,,False,
1143591230867169281,2019-06-25 18:46:10,https://t.co/cUVmSGWCAt,0,,False,
1143589912056348682,2019-06-25 18:40:56,https://t.co/xsVj0ODJzL,0,,False,
1137360386733301760,2019-06-08 14:07:01,@pobbypab @Tina_dammit @LorenteOlmedo No puedes evitar mirarme así 💁🏼‍♂️ @pobbypab,1,pobbypab,False,
1105962458349531137,2019-03-13 22:42:52,https://t.co/4DW1GngcPE,0,,False,
1104043268432711680,2019-03-08 15:36:41,https://t.co/ZDwigNUjZi,0,,False,
1102585023163703297,2019-03-04 15:02:09,https://t.co/bwDrhx9W8m,0,,False,
1101243514027945984,2019-02-28 22:11:28,“Sweating thousands of minor details is what separates Apple from other companies. Their ability to do that is hard… https://t.co/26am33g73J,1,,False,
1094028689669533696,2019-02-09 00:22:20,https://t.co/hlIpPnkDQH,0,,False,
1090602557624459264,2019-01-30 13:28:06,https://t.co/YaDJvPkR4w,0,,False,
1081341050411798529,2019-01-05 00:06:11,https://t.co/mUguiBParI,0,,False,
1075011248243306498,2018-12-18 12:53:48,https://t.co/7Kyt3x2mJ8,0,,False,
